Row	Latitude	Longitude	Date	Discharge	Precipitation	Temperature	Evaporation
5115	51.296	6.7686	2014-01-01 00:00:00Z	3150	0.5	6.9	7.7
5116	51.296	6.7686	2014-01-02 00:00:00Z	2900	3.4	8.8	9.3
5117	51.296	6.7686	2014-01-03 00:00:00Z	2720	4.5	9	9.1
5118	51.296	6.7686	2014-01-04 00:00:00Z	2700	2.1	7.6	8.2
5119	51.296	6.7686	2014-01-05 00:00:00Z	2720	0	6.5	7.9
5120	51.296	6.7686	2014-01-06 00:00:00Z	2700	4.6	9.8	9.9
5121	51.296	6.7686	2014-01-07 00:00:00Z	2810	1	11.2	9.7
5122	51.296	6.7686	2014-01-08 00:00:00Z	2980	2.1	9.6	9.7
5123	51.296	6.7686	2014-01-09 00:00:00Z	2990	0.7	9.9	9.8
5124	51.296	6.7686	2014-01-10 00:00:00Z	2850	0	5.3	7.4
5125	51.296	6.7686	2014-01-11 00:00:00Z	2720	0.7	4	7.2
5126	51.296	6.7686	2014-01-12 00:00:00Z	2630	0	2.8	6.3
5127	51.296	6.7686	2014-01-13 00:00:00Z	2560	0	6.1	7.7
5128	51.296	6.7686	2014-01-14 00:00:00Z	2420	0	6.6	7.9
5129	51.296	6.7686	2014-01-15 00:00:00Z	2330	1	4.4	7.2
5130	51.296	6.7686	2014-01-16 00:00:00Z	2310	0.7	7.1	8.6
5131	51.296	6.7686	2014-01-17 00:00:00Z	2310	0	9	8
5132	51.296	6.7686	2014-01-18 00:00:00Z	2340	0	7.6	7.1
5133	51.296	6.7686	2014-01-19 00:00:00Z	2290	0	5.1	7.2
5134	51.296	6.7686	2014-01-20 00:00:00Z	2290	0	3.8	7.1
5135	51.296	6.7686	2014-01-21 00:00:00Z	2230	0.1	2.8	6.9
5136	51.296	6.7686	2014-01-22 00:00:00Z	2170	0	3.6	6.7
5137	51.296	6.7686	2014-01-23 00:00:00Z	2140	3.7	2.4	6.6
5138	51.296	6.7686	2014-01-24 00:00:00Z	2120	0	3.6	7.2
5139	51.296	6.7686	2014-01-25 00:00:00Z	2100	6.4	3.4	6.6
5140	51.296	6.7686	2014-01-26 00:00:00Z	2130	11.4	4.8	7.1
5141	51.296	6.7686	2014-01-27 00:00:00Z	2200	0.6	4.1	6.8
